band,paradigm,good_lemma,bad_lemma,bad_active_class,n_frames,good_lemma_zipf,bad_lemma_zipf,mean_lemma_zipf,mean_form_zipf,mean_margin,accuracy,verb_margin,suffix_margin,by_margin,good_verb_tokens,bad_verb_tokens
tail,passive_2,heap,grin,released_inventory,2,3.59,3.59,3.59,2.87,7.599913723766804,1.0,9.044682629406452,-1.4447689056396484,0.0,2,1
tail,passive_2,imitate,linger,released_inventory,2,3.29,3.31,3.3,2.91,3.817363426089287,1.0,3.2545386999845505,0.5628247261047363,0.0,2,2
tail,passive_2,ingest,conspire,released_inventory,2,2.83,2.81,2.8200000000000003,3.11,7.742808342911303,1.0,6.989638329483569,0.7531700134277344,0.0,2,2
tail,passive_2,nab,retaliate,released_inventory,2,3.12,3.1,3.1100000000000003,2.795,8.53132675710367,1.0,6.853990898758639,1.6773358583450317,0.0,3,2
tail,passive_2,orphan,adhere,released_inventory,2,3.58,3.57,3.575,3.145,8.072372259106487,1.0,5.232866348233074,2.839505910873413,0.0,2,1
tail,passive_2,outdo,recede,released_inventory,2,2.72,2.71,2.715,2.79,7.551591515541077,1.0,6.490892291069031,1.060699224472046,0.0,2,3
tail,passive_2,overestimate,diverge,released_inventory,2,2.83,2.83,2.83,2.76,9.13030312396586,1.0,8.144455889239907,0.9858472347259521,0.0,2,2
tail,passive_2,perfume,reel,released_inventory,2,3.75,3.68,3.715,2.625,8.34664607513696,1.0,5.8392396019771695,2.50740647315979,0.0,2,2
tail,passive_2,preclude,fluctuate,released_inventory,2,3.03,2.99,3.01,2.6950000000000003,8.22909128665924,1.0,8.020718336105347,0.20837295055389404,0.0,1,2
tail,passive_2,quarry,rave,released_inventory,2,3.6,3.52,3.56,2.495,6.90266471914947,1.0,7.708595333620906,-0.8059306144714355,0.0,2,2
tail,passive_2,quell,sympathize,released_inventory,2,3.0,3.06,3.0300000000000002,2.46,12.381802223622799,1.0,8.414307974278927,3.967494249343872,0.0,2,2
tail,passive_2,rear,sin,released_inventory,2,4.43,4.37,4.4,3.0599999999999996,2.63713838160038,1.0,4.742415681481361,-2.1052772998809814,0.0,2,2
tail,passive_2,recast,reappear,released_inventory,2,2.94,3.01,2.9749999999999996,2.9299999999999997,6.464135468006134,1.0,6.68676370382309,-0.22262823581695557,0.0,2,2
tail,passive_2,refund,clash,released_inventory,2,3.94,3.97,3.955,3.1500000000000004,9.818342488724738,1.0,7.271506291348487,2.546836197376251,0.0,2,2
tail,passive_2,reinstall,seep,released_inventory,2,2.76,2.79,2.775,2.55,8.766588113969192,1.0,4.417275689309463,4.349312424659729,0.0,2,3
tail,passive_2,rouse,lurk,released_inventory,2,3.1,3.1,3.1,2.5949999999999998,11.906195398420095,1.0,9.979425426572561,1.9267699718475342,0.0,2,2
tail,passive_2,safeguard,blush,released_inventory,2,3.55,3.56,3.5549999999999997,2.63,5.584002155112103,1.0,5.88586677913554,-0.3018646240234375,0.0,3,2
tail,passive_2,scrub,thrive,released_inventory,2,3.69,3.73,3.71,3.01,14.298742680053692,1.0,13.276273874740582,1.0224688053131104,0.0,2,2
tail,passive_2,slander,glare,released_inventory,2,3.34,3.36,3.3499999999999996,2.5599999999999996,2.922058306634426,1.0,1.3227617368102074,1.5992965698242188,0.0,3,1
tail,passive_2,smother,subside,released_inventory,2,2.85,2.88,2.865,3.0149999999999997,10.539241194725037,1.0,10.201934576034546,0.3373066186904907,0.0,2,2
tail,passive_2,spice,pee,released_inventory,2,3.94,3.96,3.95,3.06,8.059369340538979,1.0,8.337372079491615,-0.2780027389526367,0.0,2,2
tail,passive_2,stockpile,shudder,released_inventory,2,3.12,3.11,3.115,2.4800000000000004,5.069225371815264,1.0,5.08673030231148,-0.01750493049621582,0.0,3,2
tail,passive_2,stow,abstain,released_inventory,2,3.06,3.07,3.065,2.785,13.052076792344451,1.0,12.469800328835845,0.582276463508606,0.0,2,2
tail,passive_2,subjugate,collude,released_inventory,2,2.47,2.49,2.4800000000000004,2.715,3.3856707769446075,1.0,2.921126003842801,0.46454477310180664,0.0,3,2
tail,passive_2,subvert,persevere,released_inventory,2,2.95,2.96,2.955,2.635,3.685507802059874,1.0,3.1571235933806747,0.5283842086791992,0.0,2,3
tail,passive_2,tame,chuckle,released_inventory,2,3.56,3.52,3.54,3.03,8.174509763717651,1.0,6.120674252510071,2.0538355112075806,0.0,2,1
tail,passive_2,trademark,bloom,released_inventory,2,3.89,3.93,3.91,2.7,8.835142945870757,1.0,8.499376630410552,0.3357663154602051,0.0,2,2
tail,passive_2,transcend,concur,released_inventory,2,3.1,3.18,3.14,2.74,4.159262066707015,1.0,0.7936005052179098,3.3656615614891052,0.0,2,2
tail,passive_2,utter,creep,released_inventory,2,3.85,3.84,3.8449999999999998,3.165,10.83581805229187,1.0,7.0703125,3.76550555229187,0.0,1,1
tail,passive_2,whitewash,wane,released_inventory,2,2.81,2.83,2.8200000000000003,2.84,8.803366124629974,1.0,8.30880743265152,0.4945586919784546,0.0,2,2
xtail,passive_1,blab,loll,released_inventory,2,2.29,2.25,2.27,1.74,6.2079565320163965,1.0,3.907649317756295,2.3003072142601013,2.3402270078659058,3,2
xtail,passive_1,blaspheme,seethe,released_inventory,2,2.16,2.18,2.17,1.915,8.858502643299289,1.0,4.753818975877948,4.104683667421341,1.203286349773407,4,3
xtail,passive_1,clout,grouse,released_inventory,2,3.23,3.14,3.185,1.49,3.777800764888525,1.0,2.6770718209445477,1.1007289439439774,0.26249265670776367,3,2
xtail,passive_1,crate,lumber,released_inventory,2,3.47,3.59,3.5300000000000002,2.18,3.1224642507731915,1.0,1.1911489479243755,1.931315302848816,1.0241297483444214,2,2
xtail,passive_1,daub,resound,released_inventory,2,2.16,2.27,2.215,2.005,7.473949724371778,1.0,6.136014962132322,1.3379347622394562,-4.045752614736557,3,2
xtail,passive_1,debug,tingle,released_inventory,2,2.86,2.86,2.86,1.77,8.712434771470726,1.0,6.236879679374397,2.4755550920963287,-0.697543203830719,2,2
xtail,passive_1,disabuse,sidle,released_inventory,2,2.01,2.0,2.005,1.77,6.019028798677027,1.0,4.339969472028315,1.6790593266487122,1.3097621202468872,3,2
xtail,passive_1,disgorge,exult,released_inventory,2,1.78,1.8,1.79,1.705,8.817518244904932,1.0,5.882263551873621,2.935254693031311,-0.8483312726020813,3,3
xtail,passive_1,disquiet,goggle,released_inventory,2,2.5,2.43,2.465,1.56,6.672841301187873,1.0,6.582087775692344,0.09075352549552917,1.0996491014957428,3,3
xtail,passive_1,doff,salivate,released_inventory,2,2.11,2.12,2.115,1.47,8.78399325965438,1.0,8.563883200869896,0.22011005878448486,-1.1564403772354126,3,2
xtail,passive_1,edify,toddle,released_inventory,2,1.96,1.89,1.9249999999999998,1.5550000000000002,5.568077862262726,1.0,4.345249891281128,1.222827970981598,2.172725260257721,2,2
xtail,passive_1,espy,scram,released_inventory,2,2.32,2.35,2.335,1.305,0.655173871666193,0.5,-1.5645103715360165,2.2196842432022095,2.3794988989830017,2,3
