paradigm,metric,removed_band,removed_good_lemma,removed_bad_lemma,baseline_difference,after_difference,sign_change
passive_1,accuracy,xtail,disquiet,goggle,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,doff,salivate,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,edify,toddle,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,espy,scram,0.010000000000000009,0.0,1
passive_1,accuracy,xtail,extirpate,vegetate,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,filch,smolder,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,garland,banter,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,gull,desist,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,guzzle,commiserate,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,heft,hibernate,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,immolate,vacillate,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,incriminate,sulk,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,lard,fizz,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,lather,slouch,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,lug,drool,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,mistrust,coexist,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,mulch,bustle,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,obviate,teem,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,ogle,wallow,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,outshine,gape,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,perm,fawn,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,pigeonhole,hitchhike,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,placate,crackle,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,prise,jut,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,rearm,totter,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,recompense,leer,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,redress,pant,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,regale,writhe,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,reproach,whiz,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,reprove,remonstrate,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,resupply,slog,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,shoo,quiver,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,shoplift,eventuate,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,stopper,quack,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,suckle,defecate,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,sunder,eavesdrop,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,swaddle,decamp,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,tithe,putter,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,unlatch,burgeon,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,wad,shimmer,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,wag,bask,0.010000000000000009,0.010204081632653073,0
passive_1,accuracy,xtail,wallop,gloat,0.010000000000000009,0.010204081632653073,0
passive_2,mean_margin,head,bet,appear,1.7481153560315628,1.8589536038442747,0
passive_2,mean_margin,head,blame,struggle,1.7481153560315628,1.824527806381811,0
passive_2,mean_margin,head,celebrate,reply,1.7481153560315628,1.6071290675207273,0
passive_2,mean_margin,head,confront,testify,1.7481153560315628,1.7349621478124755,0
