control,seed,regime,subtask,clean_source_zipf_regime,clean_inventory_source,n,mean_corrupt_metric,mean_patched_metric,mean_clean_metric,mean_effect,effect_ci95_lo,effect_ci95_hi,mean_normalized_effect,patched_success_rate
red_blue,17,low,causative,tail,supplemental_v2_bad_verbs,159,1.0777319242369454,0.9329795657463793,0.6665561124213837,-0.14475235849056603,-0.17069573972210195,-0.11841589849699968,nan,0.8616352201257862
red_blue,17,low,causative,xtail,freqblimp_curated,20,0.76953125,0.8890625,1.1375,0.11953125,0.06875,0.1703125,nan,0.8
red_blue,17,low,causative,xtail,supplemental_v2_bad_verbs,43,0.8473837209302325,0.6507994186046512,1.0279796400735544,-0.19658430232558138,-0.23909883720930233,-0.15152616279069767,nan,0.7674418604651163
red_blue,17,low,inchoative,low_gap,freqblimp_curated,20,1.011328125,0.8257812261581421,1.739062452316284,-0.1855468988418579,-0.2359375,-0.13164064884185792,nan,0.9
red_blue,17,low,inchoative,low_gap,supplemental_v2_bad_verbs,25,0.5081250190734863,0.7106250190734863,0.8446875,0.2025,0.15999998092651369,0.24625001907348631,nan,0.8
red_blue,17,low,inchoative,tail,freqblimp_curated,240,0.7748046894868215,0.5913085957368215,0.5444661458333333,-0.18349609375,-0.20278320113817852,-0.16412760615348815,nan,0.7875
red_blue,17,low,inchoative,tail,supplemental_v2_bad_verbs,139,0.6758093525179856,0.910184362809435,0.6798280125899281,0.23437501029144947,0.2061600890948618,0.259105236410237,nan,0.8848920863309353
red_blue,17,low,inchoative,xtail,freqblimp_curated,20,0.8484374761581421,0.637109375,1.215625,-0.2113281011581421,-0.2499999761581421,-0.17343745231628419,nan,0.75
red_blue,17,low,inchoative,xtail,supplemental_v2_bad_verbs,116,0.7165948152542114,0.8941271428404183,0.9270272090517241,0.1775323275862069,0.15018856114354626,0.20810883620689655,nan,0.8706896551724138
shuffled_label,17,head,causative,head,freqblimp_curated,196,0.1690050996079737,0.1304209299233495,0.06823978375415413,-0.03858417272567749,-0.47002550777123897,0.3872768124755548,0.4662666619788956,0.5204081632653061
shuffled_label,17,head,inchoative,head,freqblimp_curated,67,0.7089552060881658,0.6287313575175271,-0.10027982227837862,-0.08022385568761115,-0.638257546858354,0.5160362030330458,0.5884513404316213,0.5373134328358209
shuffled_label,17,head,inchoative,head,supplemental_v2_bad_verbs,49,-0.341836724962507,-0.15816327017180773,-0.26211734207309023,0.18367344992501394,-0.47959185133174975,0.8711734450593287,0.643342082352228,0.4897959183673469
shuffled_label,17,low,causative,low_gap,freqblimp_curated,20,0.618750023841858,0.3343750357627869,0.22812498807907106,-0.284374988079071,-1.743750023841858,1.203125035762787,0.7748313343698432,0.5
shuffled_label,17,low,causative,low_gap,supplemental_v2_bad_verbs,42,1.8311011791229248,0.9122023781140646,-0.06101189340863909,-0.9188988038471767,-1.5647321087973458,-0.13467262472425187,0.6199275807647322,0.6190476190476191
shuffled_label,17,low,causative,tail,freqblimp_curated,276,-0.11039401396461156,0.3541666731454324,0.6478713798350182,0.4645606849504554,0.10690788553472151,0.850298714111833,0.5134238647291548,0.532608695652174
shuffled_label,17,low,causative,tail,supplemental_v2_bad_verbs,159,0.8180031304089528,0.33647798892087155,-0.13011007039052136,-0.481525145986545,-0.9830974805280097,0.05444184039373818,0.5997492972304521,0.5534591194968553
shuffled_label,17,low,causative,xtail,freqblimp_curated,20,0.11249996423721313,-0.7593749761581421,-1.1875000059604646,-0.8718749403953552,-2.2968748807907104,0.7656250476837159,0.6134013153828518,0.4
shuffled_label,17,low,causative,xtail,supplemental_v2_bad_verbs,43,0.04796510796214259,-0.062499983366145644,-0.1845930343450502,-0.11046509687290636,-0.9876453127971915,0.7587209551833397,0.5303687202606612,0.4186046511627907
shuffled_label,17,low,inchoative,low_gap,freqblimp_curated,20,-1.539062511920929,-1.253124976158142,-0.44687498807907106,0.28593753576278685,-0.39218748807907106,0.873437511920929,0.3656287261989864,0.35
shuffled_label,17,low,inchoative,low_gap,supplemental_v2_bad_verbs,25,0.5350000047683716,0.9925,1.0637499809265136,0.45749999523162843,-0.3374999713897705,1.2499999380111695,0.49350260106100696,0.64
shuffled_label,17,low,inchoative,tail,freqblimp_curated,240,0.11145833233992258,-0.05781249403953552,-0.07526041616996129,-0.1692708268761635,-0.4682291612029076,0.13072916517655056,0.658180372431324,0.5208333333333334
shuffled_label,17,low,inchoative,tail,supplemental_v2_bad_verbs,139,0.3394784121204623,0.4826888514937257,0.5123651173474978,0.14321043422753862,-0.2632643824858631,0.5777877637808272,0.6772654511460505,0.5467625899280576
shuffled_label,17,low,inchoative,xtail,freqblimp_curated,20,-1.821874988079071,-1.5687499821186066,-0.690625,0.253125,-0.24843748807907104,0.76875,0.08578589705177622,0.35
shuffled_label,17,low,inchoative,xtail,supplemental_v2_bad_verbs,116,0.009698275862068966,0.03556032838492558,-0.06061423133159506,0.025862052522856612,-0.3798491543736951,0.44019395524057847,0.6480860540422474,0.5086206896551724
