lemma,delta_p_object,behavior_status,mean_p_object_t_plus,mean_p_object_t_minus,delta_coord_calibrated,projection_status,mean_coord_calibrated_t_plus,mean_coord_calibrated_t_minus,delta_coord_raw,probe_form_token_count,probe_form_token_pieces,probe_subject,probe_subject_animacy
droocken,0.9264370575547218,moves,0.9698541760444641,0.04341711848974228,9.484111070632935,aligns,13.133598327636719,3.649487257003784,-9.484111070632935,3,"['Ġdro', 'ock', 'en']",box,inanimate
droockip,0.8276681080460548,moves,0.8839890360832214,0.056320928037166595,9.70015811920166,aligns,8.520224571228027,-1.1799335479736328,-9.70015811920166,3,"['Ġdro', 'ock', 'ip']",shirt,inanimate
droockle,0.9479688629508018,moves,0.9825724363327026,0.03460357338190079,13.724433183670044,aligns,14.25798225402832,0.5335490703582764,-13.724433183670044,3,"['Ġdro', 'ock', 'le']",paper,inanimate
fazup,0.850570023059845,moves,0.9963262677192688,0.14575624465942383,8.993744492530823,aligns,10.487000465393066,1.4932559728622437,-8.993744492530823,2,"['Ġfaz', 'up']",chef,animate
fegom,0.6892314553260803,moves,0.9913050532341003,0.30207359790802,6.158998489379883,aligns,8.540569305419922,2.381570816040039,-6.158998489379883,2,"['Ġfe', 'gom']",driver,animate
felev,0.708584189414978,moves,0.9874510765075684,0.27886688709259033,5.347290277481079,aligns,7.554563045501709,2.20727276802063,-5.347290277481079,2,"['Ġfe', 'lev']",paper,inanimate
feviv,0.8584465906023979,moves,0.9762851595878601,0.11783856898546219,5.278530657291412,aligns,5.527048587799072,0.2485179305076599,-5.278530657291412,2,"['Ġfe', 'viv']",shirt,inanimate
fifum,0.23162341117858887,moves,0.9919739365577698,0.7603505253791809,3.3245763778686523,aligns,8.956853866577148,5.632277488708496,-3.3245763778686523,2,"['Ġfif', 'um']",driver,animate
fifup,0.9671149253845215,moves,0.9942036867141724,0.02708876132965088,17.405576586723328,aligns,15.983179092407227,-1.422397494316101,-17.405576586723328,2,"['Ġfif', 'up']",shirt,inanimate
gefle,0.7743303775787354,moves,0.9223358035087585,0.1480054259300232,6.964913725852966,aligns,7.862839698791504,0.8979259729385376,-6.964913725852966,2,"['Ġgef', 'le']",paper,inanimate
givom,0.9222684353590012,moves,0.981990396976471,0.05972196161746979,7.5556029081344604,aligns,8.535481452941895,0.9798785448074341,-7.5556029081344604,2,"['Ġgiv', 'om']",box,inanimate
gleeshet,0.9381859274581075,moves,0.9476453065872192,0.009459379129111767,9.459192276000977,aligns,4.371467590332031,-5.087724685668945,-9.459192276000977,3,"['Ġgle', 'es', 'het']",paper,inanimate
gleeshev,0.6120779514312744,moves,0.966913640499115,0.3548356890678406,2.8177032470703125,aligns,4.078060626983643,1.26035737991333,-2.8177032470703125,3,"['Ġgle', 'es', 'hev']",student,animate
