lemma,n_t_plus,n_t_minus,mean_p_object_t_plus,mean_p_object_t_minus,delta_p_object,mean_raw_object_t_plus,mean_raw_object_t_minus,mean_period_t_plus,mean_period_t_minus,probe_form_token_count,probe_form_token_pieces,probe_subject,probe_subject_animacy
draickle,1,1,0.9936714768409729,0.06883681565523148,0.9248346611857414,0.9288244247436523,0.04923940449953079,0.00591553607955575,0.6660668253898621,3,"['Ġdra', 'ick', 'le']",student,animate
draickop,1,1,0.9967701435089111,0.21756204962730408,0.7792080938816071,0.9142181277275085,0.1105378121137619,0.0029623503796756268,0.39753708243370056,3,"['Ġdra', 'ick', 'op']",chef,animate
droocken,1,1,0.9698541760444641,0.04341711848974228,0.9264370575547218,0.8714252710342407,0.026813004165887833,0.027086367830634117,0.590754508972168,3,"['Ġdro', 'ock', 'en']",box,inanimate
droockip,1,1,0.8839890360832214,0.056320928037166595,0.8276681080460548,0.2801939845085144,0.001716012367978692,0.03677147626876831,0.028752455487847328,3,"['Ġdro', 'ock', 'ip']",shirt,inanimate
droockle,1,1,0.9825724363327026,0.03460357338190079,0.9479688629508018,0.9133747816085815,0.022631347179412842,0.016200220212340355,0.6313862800598145,3,"['Ġdro', 'ock', 'le']",paper,inanimate
fazup,1,1,0.9963262677192688,0.14575624465942383,0.850570023059845,0.8047276735305786,0.00969429686665535,0.0029672307427972555,0.05681603401899338,2,"['Ġfaz', 'up']",chef,animate
fegom,1,1,0.9913050532341003,0.30207359790802,0.6892314553260803,0.6892471313476562,0.10686764121055603,0.006045539863407612,0.24691252410411835,2,"['Ġfe', 'gom']",driver,animate
felev,1,1,0.9874510765075684,0.27886688709259033,0.708584189414978,0.45756256580352783,0.0979275330901146,0.005814875941723585,0.25323474407196045,2,"['Ġfe', 'lev']",paper,inanimate
feviv,1,1,0.9762851595878601,0.11783856898546219,0.8584465906023979,0.1756572425365448,0.02266048640012741,0.00426687765866518,0.16964060068130493,2,"['Ġfe', 'viv']",shirt,inanimate
fifum,1,1,0.9919739365577698,0.7603505253791809,0.23162341117858887,0.6668394804000854,0.3560730814933777,0.005395413842052221,0.112228162586689,2,"['Ġfif', 'um']",driver,animate
fifup,1,1,0.9942036867141724,0.02708876132965088,0.9671149253845215,0.8925752639770508,0.0137529531493783,0.00520379189401865,0.4939466416835785,2,"['Ġfif', 'up']",shirt,inanimate
gefle,1,1,0.9223358035087585,0.1480054259300232,0.7743303775787354,0.7277268767356873,0.042958300560712814,0.061277370899915695,0.24728985130786896,2,"['Ġgef', 'le']",paper,inanimate
givom,1,1,0.981990396976471,0.05972196161746979,0.9222684353590012,0.7320957779884338,0.038218192756175995,0.013426563702523708,0.6017171144485474,2,"['Ġgiv', 'om']",box,inanimate
gleeshet,1,1,0.9476453065872192,0.009459379129111767,0.9381859274581075,0.7691263556480408,0.006250089034438133,0.04249202460050583,0.6544792056083679,3,"['Ġgle', 'es', 'het']",paper,inanimate
gleeshev,1,1,0.966913640499115,0.3548356890678406,0.6120779514312744,0.0996880829334259,0.0888645127415657,0.0034111845307052135,0.16157396137714386,3,"['Ġgle', 'es', 'hev']",student,animate
gleeshiv,1,1,0.868763267993927,0.30347537994384766,0.5652878880500793,0.05209125205874443,0.026872754096984863,0.007868985645473003,0.061677273362874985,3,"['Ġgle', 'esh', 'iv']",paper,inanimate
gleeshle,1,1,0.9977421164512634,0.16093355417251587,0.8368085622787476,0.9600033164024353,0.10239576548337936,0.0021724964026361704,0.5338653326034546,3,"['Ġgle', 'esh', 'le']",paper,inanimate
gloocket,1,1,0.9927762746810913,0.14138761162757874,0.8513886630535126,0.29362547397613525,0.007468693889677525,0.0021365073043853045,0.045355554670095444,2,"['Ġglo', 'ocket']",student,animate
gufen,1,1,0.9747589230537415,0.06706325709819794,0.9076956659555435,0.8513625860214233,0.031303226947784424,0.022045817226171494,0.4354684352874756,2,"['Ġgu', 'fen']",shirt,inanimate
kekom,1,1,0.9722065925598145,0.01600651443004608,0.9562000781297684,0.7557922005653381,0.009528730064630508,0.021606553345918655,0.5857744812965393,2,"['Ġke', 'kom']",driver,animate
kloolen,1,1,0.984896183013916,0.12246278673410416,0.8624333962798119,0.8661443591117859,0.05648626759648323,0.013282693922519684,0.4047662317752838,3,"['Ġkl', 'ool', 'en']",shirt,inanimate
kloolle,1,1,0.9732469916343689,0.04637102410197258,0.9268759675323963,0.8632934093475342,0.027705829590559006,0.023730576038360596,0.5697756409645081,3,"['Ġkl', 'ool', 'le']",shirt,inanimate
kloolup,1,1,0.9894574880599976,0.06517165899276733,0.9242858290672302,0.6532440185546875,0.007055151276290417,0.0069601889699697495,0.10119974613189697,3,"['Ġkl', 'ool', 'up']",student,animate
kloozen,1,1,0.9962559938430786,0.08564020693302155,0.9106157869100571,0.8922475576400757,0.05410466343164444,0.0033531312365084887,0.5776624083518982,3,"['Ġkl', 'oo', 'zen']",box,inanimate
mexiv,1,1,0.9727089405059814,0.04346445947885513,0.9292444810271263,0.4187711775302887,0.02558686025440693,0.011749358847737312,0.5630978345870972,2,"['Ġme', 'xiv']",driver,animate
